key,name,city,state,country,lat,long,vip
IBM,Robert E. Arraj,Kimball,NE,USA,41.19,-103.68,False
ICL,Schenck,Clarinda,IA,USA,40.72,-95.03,False
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.65,-97.43,False
IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51,-112.07,False
IDI,Indiana Cty/Jimmy Stewart,Indiana,PA,USA,40.63,-79.11,False
IDL,Indianola Municipal,Indianola,MS,USA,33.49,-90.68,False
IDP,Independence Municipal,Independence,KS,USA,37.16,-95.78,False
IEM,Whittier,Whittier,AK,USA,60.78,-148.72,False
IEN,Pine Ridge,Pine Ridge,SD,USA,43.02,-102.51,False
IER,Natchitoches Municipal,Natchitoches,LA,USA,31.74,-93.10,False
IFA,Iowa Falls Municipal,Iowa Falls,IA,USA,42.47,-93.27,False
IFP,Laughlin/Bullhead International,Bullhead City,AZ,USA,35.16,-114.56,False
IGG,Igiugig,Igiugig,AK,USA,59.32,-155.90,False
IGM,Kingman,Kingman,AZ,USA,35.26,-113.94,False
IGQ,Lansing Municipal,Chicago/Lansing,IL,USA,41.54,-87.53,False
IGT,Nightmute,Nightmute,AK,USA,60.47,-164.69,False
IIB,Independence Municipal,Independence,IA,USA,42.45,-91.95,False
IIK,Kipnuk,Kipnuk,AK,USA,59.93,-164.03,False
IIY,Washington-Wilkes County,Washington,GA,USA,33.78,-82.82,False
IJD,Windham,Willimantic,CT,USA,41.74,-72.18,False
IJX,Jacksonville Municipal,Jacksonville,IL,USA,39.77,-90.24,False
IKK,Greater Kankakee,Kankakee,IL,USA,41.07,-87.85,False
IKV,Ankeny Regional,Ankeny,IA,USA,41.69,-93.57,False
ILE,Killeen Municipal,Killeen,TX,USA,31.09,-97.69,False
ILG,New Castle County,Wilmington,DE,USA,39.68,-75.61,False
ILI,Iliamna,Iliamna,AK,USA,59.75,-154.91,False
ILM,Wilmington International,Wilmington,NC,USA,34.27,-77.90,False
IML,Imperial Municipal,Imperial,NE,USA,40.51,-101.62,False
IMM,Immokalee,Immokalee,FL,USA,26.43,-81.40,False
IMS,Madison Municipal,Madison,IN,USA,38.76,-85.47,False
IMT,Ford,Iron Mountain/Kingsford,MI,USA,45.82,-88.11,False
IN03,Indianapolis Downtown,Indianapolis,IN,USA,39.77,-86.15,False
IND,Indianapolis International,Indianapolis,IN,USA,39.72,-86.29,False
INK,Winkler County,Wink,TX,USA,31.78,-103.20,False
INL,Falls International,International Falls,MN,USA,48.57,-93.40,False
INT,Smith Reynolds,Winston-Salem,NC,USA,36.13,-80.22,False
INW,Winslow-Lindbergh Regional,Winslow,AZ,USA,35.02,-110.72,False
IOB,Mt Sterling-Montgomery County,Mount Sterling,KY,USA,38.06,-83.98,False
IOW,Iowa City Municipal,Iowa City,IA,USA,41.64,-91.55,False
IPJ,Lincoln County,Lincolnton,NC,USA,35.48,-81.16,False
IPL,Imperial County,Imperial,CA,USA,32.83,-115.58,False
IPT,Williamsport-Lycoming Cty,Williamsport,PA,USA,41.24,-76.92,False
IRK,Kirksville Regional,Kirksville,MO,USA,40.09,-92.54,False
IRS,Kirsch Municipal,Sturgis,MI,USA,41.81,-85.44,False
ISM,Kissimmee Municipal,Orlando,FL,USA,28.29,-81.44,False
ISN,Sloulin Field International,Williston,ND,USA,48.18,-103.64,False
ISO,Kinston Regional Jetport At Stallin,Kinston,NC,USA,35.33,-77.62,False
ISP,Long Island - MacArthur,Islip,NY,USA,40.80,-73.10,False
ISQ,Schoolcraft County,Manistique,MI,USA,45.97,-86.17,False
ISW,Alexander,Wisconsin Rapids,WI,USA,44.36,-89.84,False
ISZ,Cincinnati-Blue Ash,Cincinnati,OH,USA,39.25,-84.39,False
ITH,Tompkins Cty,Ithaca,NY,USA,42.49,-76.46,False
ITO,Hilo International,Hilo,HI,USA,19.72,-155.05,False
ITR,Kit Carson County,Burlington,CO,USA,39.24,-102.29,False
IWA,Williams Gateway,Phoenix,AZ,USA,33.31,-111.66,False
IWD,Gogebic County,Ironwood,MI,USA,46.53,-90.13,False
IWH,Wabash Municipal,Wabash,IN,USA,40.76,-85.80,False
IWI,Wiscasset,Wiscasset,ME,USA,43.96,-69.71,False
IWK,Wales,Wales,AK,USA,65.62,-168.10,False
IWS,West Houston,Houston,TX,USA,29.82,-95.67,False
IXD,New Century Aircenter,Olathe,KS,USA,38.83,-94.89,False
IYK,Inyokern,Inyokern,CA,USA,35.66,-117.83,False
IYS,Wasilla,Wasilla,AK,USA,61.57,-149.54,False
IZA,Santa Ynez,Santa Ynez,CA,USA,34.61,-120.08,False
IZG,Eastern Slopes Regional,Fryeburg,ME,USA,43.99,-70.95,False
JAC,Jackson Hole,Jackson,WY,USA,43.61,-110.74,False
JAN,Jackson International,Jackson,MS,USA,32.31,-90.08,False
JAS,Jasper County -Bell,Jasper,TX,USA,30.89,-94.03,False
JAU,Campbell County,Jacksboro,TN,USA,36.33,-84.16,False
JAX,Jacksonville International,Jacksonville,FL,USA,30.49,-81.69,False
JBR,Jonesboro Municipal,Jonesboro,AR,USA,35.83,-90.65,False
JCT,Kimble County,Junction,TX,USA,30.51,-99.76,False
JDN,Jordan,Jordan,MT,USA,47.33,-106.93,False
JEF,Jefferson City Memorial,Jefferson City,MO,USA,38.59,-92.16,False
JER,Jerome County,Jerome,ID,USA,42.73,-114.46,False
JES,Jesup-Wayne County,Jesup,GA,USA,31.55,-81.88,False
JFK,John F Kennedy Intl,New York,NY,USA,40.64,-73.78,True
JFX,Walker County,Jasper,AL,USA,33.90,-87.31,False
